trial,dataset,clustering,lm,k,threshold,sampler,seed,precision,recall,f1,runtime
3,D6,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,7.1806,25.3731,11.1934,5.2479
4,D6,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,82.0833,18.3769,30.0305,3.5548
5,D6,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,gps,16,35.5178,66.2313,46.239,6.9971
6,D6,KiralyMSMApproximateClustering,smpnet,75,0.41038069916451475,gps,16,40.6951,67.7239,50.8403,5.6926
7,D6,UniqueMappingClustering,word2vec,11,0.16050713565217573,gps,16,10.8579,30.2239,15.9763,1.5164
8,D6,ConnectedComponentsClustering,smpnet,27,0.867117980377068,gps,16,83.5938,9.9813,17.8333,2.1309
9,D6,UniqueMappingClustering,smpnet,90,0.6531767268315849,gps,16,52.5028,44.0299,47.8945,3.5138
10,D6,UniqueMappingClustering,smpnet,45,0.45071183768553924,gps,16,25.9224,76.6791,38.7462,5.2214
11,D6,KiralyMSMApproximateClustering,smpnet,100,0.6389731735331013,gps,16,57.0602,45.9888,50.9298,5.5371
12,D6,KiralyMSMApproximateClustering,st5,100,0.6660403216380807,gps,16,38.2956,66.2313,48.5304,6.7305
13,D6,KiralyMSMApproximateClustering,smpnet,65,0.95,gps,16,68.75,2.0522,3.9855,4.0299
14,D6,KiralyMSMApproximateClustering,smpnet,100,0.5277668236606973,gps,16,47.541,64.9254,54.8896,6.7609
15,D6,KiralyMSMApproximateClustering,st5,100,0.4652629252102991,gps,16,36.0041,66.2313,46.6491,11.0179
16,D6,KiralyMSMApproximateClustering,sdistilroberta,100,0.5741761479139333,gps,16,43.6047,48.9739,46.1336,6.3182
17,D6,KiralyMSMApproximateClustering,sent_glove,100,0.5792771023229977,gps,16,26.8223,43.9366,33.3098,7.2659
18,D6,KiralyMSMApproximateClustering,sminilm,100,0.5776910690676883,gps,16,52.5502,63.4328,57.481,4.8744
19,D6,ConnectedComponentsClustering,sminilm,100,0.6089614403808146,gps,16,78.4091,32.1828,45.6349,6.4877
20,D6,KiralyMSMApproximateClustering,sminilm,100,0.4549641008966486,gps,16,41.9216,72.8545,53.2198,7.02
21,D6,KiralyMSMApproximateClustering,sminilm,1,0.5827306274685469,gps,16,53.8824,64.0858,58.5428,1.6061
22,D6,KiralyMSMApproximateClustering,sminilm,1,0.6732592857318582,gps,16,59.2348,41.8843,49.071,2.5628
23,D6,KiralyMSMApproximateClustering,sminilm,2,0.5310824354709903,gps,16,47.8944,71.0821,57.2287,3.6446
24,D6,KiralyMSMApproximateClustering,sminilm,45,0.5603807764257945,gps,16,50.9957,66.8843,57.8692,2.8786
25,D6,KiralyMSMApproximateClustering,word2vec,100,0.6041716081223626,gps,16,19.4105,25.1866,21.9245,8.2399
26,D6,KiralyMSMApproximateClustering,smpnet,100,0.05,gps,16,40.1444,67.444,50.3307,10.2293
27,D6,KiralyMSMApproximateClustering,sminilm,100,0.05,gps,16,39.0959,73.4142,51.0211,9.372
28,D6,KiralyMSMApproximateClustering,sdistilroberta,100,0.05,gps,16,35.5847,53.0784,42.6058,10.4016
29,D6,ConnectedComponentsClustering,st5,100,0.05,gps,16,0,0,0,6.6781
30,D6,UniqueMappingClustering,sminilm,100,0.607786604148078,gps,16,50.7911,59.8881,54.9658,5.0114
31,D6,UniqueMappingClustering,st5,100,0.6550203614212208,gps,16,20.9897,72.0149,32.5053,6.9791
32,D6,UniqueMappingClustering,sminilm,1,0.5652832294467194,gps,16,53.5977,68.097,59.9836,2.2463
33,D6,UniqueMappingClustering,sminilm,1,0.4989435844896811,gps,16,45.4851,75.653,56.8126,2.5989
34,D6,UniqueMappingClustering,sminilm,1,0.6056244492545696,gps,16,58.0018,61.194,59.5552,0.9901
35,D6,KiralyMSMApproximateClustering,sminilm,1,0.2035121014502148,gps,16,36.8146,78.9179,50.2077,2.6314
36,D6,KiralyMSMApproximateClustering,sent_glove,100,0.05,gps,16,21.9172,43.9366,29.2456,10.5267
37,D6,UniqueMappingClustering,sdistilroberta,1,0.6201980287236217,gps,16,48.6059,48.7873,48.6965,2.4742
38,D6,UniqueMappingClustering,sminilm,1,0.5757614387795763,gps,16,54.7893,66.6978,60.1599,1.4796
39,D6,KiralyMSMApproximateClustering,sdistilroberta,1,0.31133085247146114,gps,16,34.7742,66.791,45.7362,3.2886
40,D6,KiralyMSMApproximateClustering,smpnet,1,0.183291375570781,gps,16,39.3372,76.3993,51.9341,2.6835
41,D6,ConnectedComponentsClustering,sdistilroberta,1,0.562663313155626,gps,16,52.9617,42.5373,47.1805,3.5382
42,D6,ConnectedComponentsClustering,smpnet,1,0.5440835209636744,gps,16,62.6016,50.2799,55.7682,3.8683
43,D6,ConnectedComponentsClustering,sminilm,1,0.4536422560243636,gps,16,49.8158,50.4664,50.139,1.5317
44,D6,ConnectedComponentsClustering,smpnet,100,0.5114565252454465,gps,16,78.0,10.9142,19.1489,8.9785
0,D6,KiralyMSMApproximateClustering,word2vec,17,0.12019310545098835,gps,16,17.6786,27.7052,21.5843,2.2706
1,D6,KiralyMSMApproximateClustering,smpnet,45,0.47481738416773445,gps,16,43.0943,67.8172,52.7003,2.9742
2,D6,KiralyMSMApproximateClustering,fasttext,66,0.4711965326419649,gps,16,15.0088,23.7873,18.4049,5.9555
3,D6,UniqueMappingClustering,fasttext,58,0.2943416959598126,gps,16,7.1806,25.3731,11.1934,5.4517
4,D6,ConnectedComponentsClustering,smpnet,59,0.7790352058915504,gps,16,82.0833,18.3769,30.0305,3.9021
5,D6,KiralyMSMApproximateClustering,st5,73,0.22924636895423378,gps,16,35.5178,66.2313,46.239,6.7151
6,D6,KiralyMSMApproximateClustering,smpnet,75,0.41038069916451475,gps,16,40.6951,67.7239,50.8403,5.6239
7,D6,UniqueMappingClustering,word2vec,11,0.16050713565217573,gps,16,10.8579,30.2239,15.9763,1.3325
8,D6,ConnectedComponentsClustering,smpnet,27,0.867117980377068,gps,16,83.5938,9.9813,17.8333,2.1887
9,D6,UniqueMappingClustering,smpnet,90,0.6531767268315849,gps,16,52.5028,44.0299,47.8945,3.3579
